"scene_number","scene_heading","motif_id","motif","source_principale","reference_iliade","source_attendue","statut_probable","priorite","raison_entree_audit"
"4","INT. ACHILLES' TENT - CONTINUOUS","mort_agamemnon","Mort ou destin d Agamemnon","Adaptation CinÃ©ma","","Eschyle Agamemnon / Odyssee / adaptation","invention contradictoire probable","haute","match: AGAMEMNON|Agamemnon + mort|tu[eé]|Clytemnestre|Clytemnestra|Bris[eé]is"
"4","INT. ACHILLES' TENT - CONTINUOUS","querelle_achille_agamemnon","Querelle Achille / Agamemnon","Adaptation CinÃ©ma","","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"5","EXT. MYCENAEAN CAMP","cheval_troie","Cheval de Troie","HÃ©ritage GrÃ©co-Romain","","Cycle Troyen / Virgile Eneide II / Odyssee VIII","reprise post-iliadique ou invention sur fond emprunte","haute","match: cheval|horse|wooden horse|bois|Épéios|Epeios|Sinon|Laocoon"
"5","EXT. MYCENAEAN CAMP","inventions_geo_politiques","Inventions geographiques ou politiques du film","HÃ©ritage GrÃ©co-Romain","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"6","EXT. THESSALIAN VALLEY","inventions_geo_politiques","Inventions geographiques ou politiques du film","Adaptation CinÃ©ma","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"6","EXT. THESSALIAN VALLEY","mort_agamemnon","Mort ou destin d Agamemnon","Adaptation CinÃ©ma","","Eschyle Agamemnon / Odyssee / adaptation","invention contradictoire probable","haute","match: AGAMEMNON|Agamemnon + mort|tu[eé]|Clytemnestre|Clytemnestra|Bris[eé]is"
"6","EXT. THESSALIAN VALLEY","noms_secondaires","Noms propres secondaires a verifier","Adaptation CinÃ©ma","","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"6","EXT. THESSALIAN VALLEY","querelle_achille_agamemnon","Querelle Achille / Agamemnon","Adaptation CinÃ©ma","","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"7","EXT. IONIAN SEA - DUSK","inventions_geo_politiques","Inventions geographiques ou politiques du film","Le Cycle Troyen","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"7","EXT. IONIAN SEA - DUSK","paris_helene_sparte","Paris, Helene et Sparte","Le Cycle Troyen","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"8","INT. PALACE OF SPARTA - RECEPTION HALL - CONTINUOUS","duel_achille_hector","Duel Achille / Hector","Le Cycle Troyen","","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"8","INT. PALACE OF SPARTA - RECEPTION HALL - CONTINUOUS","duel_paris_menelas","Duel Paris / Menelas","Le Cycle Troyen","","Iliade, Chant III","reprise ou deplacement","haute","match: duel|combat|affronte|MENELAUS|M[eé]n[eé]las + PARIS|P[âa]ris"
"8","INT. PALACE OF SPARTA - RECEPTION HALL - CONTINUOUS","inventions_geo_politiques","Inventions geographiques ou politiques du film","Le Cycle Troyen","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"8","INT. PALACE OF SPARTA - RECEPTION HALL - CONTINUOUS","noms_secondaires","Noms propres secondaires a verifier","Le Cycle Troyen","","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"8","INT. PALACE OF SPARTA - RECEPTION HALL - CONTINUOUS","paris_helene_sparte","Paris, Helene et Sparte","Le Cycle Troyen","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"8","INT. PALACE OF SPARTA - RECEPTION HALL - CONTINUOUS","priam_achille_corps_hector","Priam chez Achille et restitution du corps","Le Cycle Troyen","","Iliade, Chant XXIV","reprise avec simplification","haute","match: PRIAM|Priam + ACHILLES|Achille|HECTOR|Hector|corps|body"
"8","INT. PALACE OF SPARTA - RECEPTION HALL - CONTINUOUS","survie_paris","Survie ou destin de Paris","Le Cycle Troyen","","Cycle Troyen / adaptation","invention contradictoire probable","moyenne","match: PARIS|P[âa]ris + survit|survie|fuit|fuite|final|mort|Apollon|Apollo"
"9","INT. HELEN'S CHAMBER - NIGHT","duel_paris_menelas","Duel Paris / Menelas","Le Cycle Troyen","","Iliade, Chant III","reprise ou deplacement","haute","match: duel|combat|affronte|MENELAUS|M[eé]n[eé]las + PARIS|P[âa]ris"
"9","INT. HELEN'S CHAMBER - NIGHT","inventions_geo_politiques","Inventions geographiques ou politiques du film","Le Cycle Troyen","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"9","INT. HELEN'S CHAMBER - NIGHT","paris_helene_sparte","Paris, Helene et Sparte","Le Cycle Troyen","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"9","INT. HELEN'S CHAMBER - NIGHT","survie_paris","Survie ou destin de Paris","Le Cycle Troyen","","Cycle Troyen / adaptation","invention contradictoire probable","moyenne","match: PARIS|P[âa]ris + survit|survie|fuit|fuite|final|mort|Apollon|Apollo"
"10","INT. PALACE - RECEPTION HALL - NIGHT","inventions_geo_politiques","Inventions geographiques ou politiques du film","Le Cycle Troyen","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"10","INT. PALACE - RECEPTION HALL - NIGHT","noms_secondaires","Noms propres secondaires a verifier","Le Cycle Troyen","","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"10","INT. PALACE - RECEPTION HALL - NIGHT","paris_helene_sparte","Paris, Helene et Sparte","Le Cycle Troyen","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"11","INT. HELEN'S CHAMBER - NIGHT (LATER)","inventions_geo_politiques","Inventions geographiques ou politiques du film","Le Cycle Troyen","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"11","INT. HELEN'S CHAMBER - NIGHT (LATER)","paris_helene_sparte","Paris, Helene et Sparte","Le Cycle Troyen","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"11","INT. HELEN'S CHAMBER - NIGHT (LATER)","survie_paris","Survie ou destin de Paris","Le Cycle Troyen","","Cycle Troyen / adaptation","invention contradictoire probable","moyenne","match: PARIS|P[âa]ris + survit|survie|fuit|fuite|final|mort|Apollon|Apollo"
"12","INT. PALACE - COURTYARD - LATER","inventions_geo_politiques","Inventions geographiques ou politiques du film","Adaptation CinÃ©ma","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"12","INT. PALACE - COURTYARD - LATER","noms_secondaires","Noms propres secondaires a verifier","Adaptation CinÃ©ma","","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"12","INT. PALACE - COURTYARD - LATER","paris_helene_sparte","Paris, Helene et Sparte","Adaptation CinÃ©ma","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"13","EXT. IONIAN SEA - DAY","inventions_geo_politiques","Inventions geographiques ou politiques du film","Le Cycle Troyen","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"13","EXT. IONIAN SEA - DAY","paris_helene_sparte","Paris, Helene et Sparte","Le Cycle Troyen","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"14","EXT. SHIP'S DECK - DAY","cheval_troie","Cheval de Troie","Adaptation CinÃ©ma","","Cycle Troyen / Virgile Eneide II / Odyssee VIII","reprise post-iliadique ou invention sur fond emprunte","haute","match: cheval|horse|wooden horse|bois|Épéios|Epeios|Sinon|Laocoon"
"14","EXT. SHIP'S DECK - DAY","duel_paris_menelas","Duel Paris / Menelas","Adaptation CinÃ©ma","","Iliade, Chant III","reprise ou deplacement","haute","match: duel|combat|affronte|MENELAUS|M[eé]n[eé]las + PARIS|P[âa]ris"
"14","EXT. SHIP'S DECK - DAY","inventions_geo_politiques","Inventions geographiques ou politiques du film","Adaptation CinÃ©ma","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"14","EXT. SHIP'S DECK - DAY","paris_helene_sparte","Paris, Helene et Sparte","Adaptation CinÃ©ma","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"15","INT. TROJAN SHIP","inventions_geo_politiques","Inventions geographiques ou politiques du film","Le Cycle Troyen","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"15","INT. TROJAN SHIP","paris_helene_sparte","Paris, Helene et Sparte","Le Cycle Troyen","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"15","INT. TROJAN SHIP","survie_paris","Survie ou destin de Paris","Le Cycle Troyen","","Cycle Troyen / adaptation","invention contradictoire probable","moyenne","match: PARIS|P[âa]ris + survit|survie|fuit|fuite|final|mort|Apollon|Apollo"
"16","INT. PALACE OF SPARTA - HELEN'S BEDCHAMBER - DAY","inventions_geo_politiques","Inventions geographiques ou politiques du film","Le Cycle Troyen","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"16","INT. PALACE OF SPARTA - HELEN'S BEDCHAMBER - DAY","paris_helene_sparte","Paris, Helene et Sparte","Le Cycle Troyen","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"17","INT. HELEN'S BEDCHAMBER","noms_secondaires","Noms propres secondaires a verifier","Adaptation CinÃ©ma","","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"17","INT. HELEN'S BEDCHAMBER","paris_helene_sparte","Paris, Helene et Sparte","Adaptation CinÃ©ma","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"18","EXT. TROJAN SHIP","duel_paris_menelas","Duel Paris / Menelas","Adaptation CinÃ©ma","","Iliade, Chant III","reprise ou deplacement","haute","match: duel|combat|affronte|MENELAUS|M[eé]n[eé]las + PARIS|P[âa]ris"
"18","EXT. TROJAN SHIP","inventions_geo_politiques","Inventions geographiques ou politiques du film","Adaptation CinÃ©ma","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"18","EXT. TROJAN SHIP","paris_helene_sparte","Paris, Helene et Sparte","Adaptation CinÃ©ma","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"18","EXT. TROJAN SHIP","survie_paris","Survie ou destin de Paris","Adaptation CinÃ©ma","","Cycle Troyen / adaptation","invention contradictoire probable","moyenne","match: PARIS|P[âa]ris + survit|survie|fuit|fuite|final|mort|Apollon|Apollo"
"19","EXT. MYCENAE HARBOR - DAY","inventions_geo_politiques","Inventions geographiques ou politiques du film","Adaptation CinÃ©ma","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"19","EXT. MYCENAE HARBOR - DAY","sac_chute_troie","Sac et chute de Troie","Adaptation CinÃ©ma","","Cycle Troyen / Virgile Eneide II / Euripide","reprise post-iliadique, deplacement ou invention contradictoire","haute","match: sac de Troie|chute de Troie|Troie tombe|burns|br[uû]le|incendie|ville|cit[ée]|Pergame"
"20","INT. MYCENAE CITADEL - THRONE ROOM - DAY","inventions_geo_politiques","Inventions geographiques ou politiques du film","Adaptation CinÃ©ma","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"20","INT. MYCENAE CITADEL - THRONE ROOM - DAY","mort_agamemnon","Mort ou destin d Agamemnon","Adaptation CinÃ©ma","","Eschyle Agamemnon / Odyssee / adaptation","invention contradictoire probable","haute","match: AGAMEMNON|Agamemnon + mort|tu[eé]|Clytemnestre|Clytemnestra|Bris[eé]is"
"20","INT. MYCENAE CITADEL - THRONE ROOM - DAY","paris_helene_sparte","Paris, Helene et Sparte","Adaptation CinÃ©ma","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"20","INT. MYCENAE CITADEL - THRONE ROOM - DAY","querelle_achille_agamemnon","Querelle Achille / Agamemnon","Adaptation CinÃ©ma","","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"21","INT. MYCENAE CITADEL - THRONE ROOM - NIGHT","duel_achille_hector","Duel Achille / Hector","Adaptation CinÃ©ma","","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"21","INT. MYCENAE CITADEL - THRONE ROOM - NIGHT","femmes_troyennes","Femmes troyennes et captives","Adaptation CinÃ©ma","","Euripide Troyennes / Hecube / Andromaque","reprise post-iliadique ou deplacement","moyenne","match: HECUBA|H[eé]cube|CASSANDRA|Cassandre|ANDROMACHE|Andromaque|captives|femmes troyennes|Troyennes"
"21","INT. MYCENAE CITADEL - THRONE ROOM - NIGHT","inventions_geo_politiques","Inventions geographiques ou politiques du film","Adaptation CinÃ©ma","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"21","INT. MYCENAE CITADEL - THRONE ROOM - NIGHT","querelle_achille_agamemnon","Querelle Achille / Agamemnon","Adaptation CinÃ©ma","","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"21","INT. MYCENAE CITADEL - THRONE ROOM - NIGHT","sac_chute_troie","Sac et chute de Troie","Adaptation CinÃ©ma","","Cycle Troyen / Virgile Eneide II / Euripide","reprise post-iliadique, deplacement ou invention contradictoire","haute","match: sac de Troie|chute de Troie|Troie tombe|burns|br[uû]le|incendie|ville|cit[ée]|Pergame"
"23","EXT. SEASIDE CLIFF - LATE AFTERNOON","ajax","Ajax","Adaptation CinÃ©ma","","Iliade / Sophocle Ajax / Cycle Troyen","invention contradictoire probable pour sa mort filmique","haute","match: AJAX|Ajax"
"23","EXT. SEASIDE CLIFF - LATE AFTERNOON","cheval_troie","Cheval de Troie","Adaptation CinÃ©ma","","Cycle Troyen / Virgile Eneide II / Odyssee VIII","reprise post-iliadique ou invention sur fond emprunte","haute","match: cheval|horse|wooden horse|bois|Épéios|Epeios|Sinon|Laocoon"
"23","EXT. SEASIDE CLIFF - LATE AFTERNOON","duel_achille_hector","Duel Achille / Hector","Adaptation CinÃ©ma","","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"23","EXT. SEASIDE CLIFF - LATE AFTERNOON","patrocle_armes_achille","Patrocle et les armes d Achille","Adaptation CinÃ©ma","","Iliade, Chant XVI","reprise avec simplification ou deplacement","haute","match: PATROCLUS|Patrocle|Patroclus + ACHILLES|Achille|arm[eu]s"
"23","EXT. SEASIDE CLIFF - LATE AFTERNOON","querelle_achille_agamemnon","Querelle Achille / Agamemnon","Adaptation CinÃ©ma","","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"24","EXT. BEACH - SUNSET","sac_chute_troie","Sac et chute de Troie","L'Iliade","Chant IX","Cycle Troyen / Virgile Eneide II / Euripide","reprise post-iliadique, deplacement ou invention contradictoire","haute","match: sac de Troie|chute de Troie|Troie tombe|burns|br[uû]le|incendie|ville|cit[ée]|Pergame"
"26","EXT. AEGEAN SEA - DAY","inventions_geo_politiques","Inventions geographiques ou politiques du film","Le Cycle Troyen","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"26","EXT. AEGEAN SEA - DAY","querelle_achille_agamemnon","Querelle Achille / Agamemnon","Le Cycle Troyen","","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"27","EXT. ACHILLES' WARSHIP - DAY","patrocle_armes_achille","Patrocle et les armes d Achille","Adaptation CinÃ©ma","","Iliade, Chant XVI","reprise avec simplification ou deplacement","haute","match: PATROCLUS|Patrocle|Patroclus + ACHILLES|Achille|arm[eu]s"
"28","EXT. TROY - DAY","sac_chute_troie","Sac et chute de Troie","Le Cycle Troyen","","Cycle Troyen / Virgile Eneide II / Euripide","reprise post-iliadique, deplacement ou invention contradictoire","haute","match: sac de Troie|chute de Troie|Troie tombe|burns|br[uû]le|incendie|ville|cit[ée]|Pergame"
