"scene","champ_modifie","ancienne_valeur","nouvelle_valeur","justification","source_documentaire"
"67","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"68","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"69","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"70","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"71","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"72","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"73","degre_fidelite","<champ absent>","1","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"74","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"75","degre_fidelite","<champ absent>","1","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"76","degre_fidelite","<champ absent>","1","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"77","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"78","degre_fidelite","<champ absent>","2","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"79","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"80","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"81","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"82","degre_fidelite","<champ absent>","2","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"83","degre_fidelite","<champ absent>","1","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"84","degre_fidelite","<champ absent>","1","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"85","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"86","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"87","degre_fidelite","<champ absent>","1","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"88","degre_fidelite","<champ absent>","1","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"89","degre_fidelite","<champ absent>","1","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"90","degre_fidelite","<champ absent>","1","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"91","degre_fidelite","<champ absent>","1","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"92","degre_fidelite","<champ absent>","1","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"93","degre_fidelite","<champ absent>","1","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"94","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"95","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"96","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"97","degre_fidelite","<champ absent>","1","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"98","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"99","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"100","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"101","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"102","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"103","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"104","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"105","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"106","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"107","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"108","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"109","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"110","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"111","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"112","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"113","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"114","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"115","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"116","degre_fidelite","<champ absent>","1","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"117","degre_fidelite","<champ absent>","2","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"118","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"119","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"120","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"121","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"122","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"123","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"124","degre_fidelite","<champ absent>","2","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
